,X,y,Predict
238,"[58.0, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.850468
239,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.885147
240,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.885147
241,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[58.0],57.885147
242,"[58.4588508605957, 58.4588508605957, 58.0]",[58.4588508605957],57.899193
243,"[58.4588508605957, 58.0, 58.4588508605957]",[58.4588508605957],57.907948
244,"[58.0, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.850468
245,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.885147
246,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[58.4588508605957],57.885147
247,"[58.4588508605957, 58.4588508605957, 58.4588508605957]",[60.00000000000001],57.885147
248,"[58.4588508605957, 58.4588508605957, 60.00000000000001]",[58.778419494628906],57.59667
249,"[58.4588508605957, 60.00000000000001, 58.778419494628906]",[58.778419494628906],57.49556
250,"[60.00000000000001, 58.778419494628906, 58.778419494628906]",[58.778419494628906],57.790844
251,"[58.778419494628906, 58.778419494628906, 58.778419494628906]",[58.778419494628906],57.809086
252,"[58.778419494628906, 58.778419494628906, 58.778419494628906]",[58.778419494628906],57.809086
253,"[58.778419494628906, 58.778419494628906, 58.778419494628906]",[57.0],57.809086
254,"[58.778419494628906, 58.778419494628906, 57.0]",[58.304134368896484],57.830475
255,"[58.778419494628906, 57.0, 58.304134368896484]",[58.304134368896484],57.95775
256,"[57.0, 58.304134368896484, 58.304134368896484]",[58.304134368896484],57.803604
257,"[58.304134368896484, 58.304134368896484, 58.304134368896484]",[58.304134368896484],57.9074
258,"[58.304134368896484, 58.304134368896484, 58.304134368896484]",[58.304134368896484],57.9074
259,"[58.304134368896484, 58.304134368896484, 58.304134368896484]",[59.0],57.9074
260,"[58.304134368896484, 58.304134368896484, 59.0]",[59.01038360595703],57.808327
261,"[58.304134368896484, 59.0, 59.01038360595703]",[59.01038360595703],57.69659
262,"[59.0, 59.01038360595703, 59.01038360595703]",[59.01038360595703],57.73861
263,"[59.01038360595703, 59.01038360595703, 59.01038360595703]",[59.01038360595703],57.738758
264,"[59.01038360595703, 59.01038360595703, 59.01038360595703]",[59.01038360595703],57.738758
265,"[59.01038360595703, 59.01038360595703, 59.01038360595703]",[66.0],57.738758
266,"[59.01038360595703, 59.01038360595703, 66.0]",[65.93142700195312],58.476677
267,"[59.01038360595703, 66.0, 65.93142700195312]",[65.93142700195312],60.705124
268,"[66.0, 65.93142700195312, 65.93142700195312]",[65.93142700195312],61.98138
269,"[65.93142700195312, 65.93142700195312, 65.93142700195312]",[65.93142700195312],61.98365
270,"[65.93142700195312, 65.93142700195312, 65.93142700195312]",[65.93142700195312],61.98365
271,"[65.93142700195312, 65.93142700195312, 65.93142700195312]",[67.0],61.98365
272,"[65.93142700195312, 65.93142700195312, 67.0]",[66.30117797851562],62.473213
273,"[65.93142700195312, 67.0, 66.30117797851562]",[66.30117797851562],62.508762
274,"[67.0, 66.30117797851562, 66.30117797851562]",[66.30117797851562],62.177597
275,"[66.30117797851562, 66.30117797851562, 66.30117797851562]",[66.30117797851562],62.245834
276,"[66.30117797851562, 66.30117797851562, 66.30117797851562]",[66.30117797851562],62.245834
